adc r0,#0|0000a0e2
adc r0,r0|0000a0e0
adc r0,r1|0100a0e0
adc r0,r2|0200a0e0
adc r0,r3|0300a0e0
adc r0,r4|0400a0e0
adc r0,r5|0500a0e0
adc r0,r6|0600a0e0
adc r0,r7|0700a0e0
adc r0,r8|0800a0e0
adc r1,#0|0010a1e2
adc r1,r0|0010a1e0
adc r1,r1|0110a1e0
adc r1,r2|0210a1e0
adc r1,r3|0310a1e0
adc r1,r4|0410a1e0
adc r1,r5|0510a1e0
adc r1,r6|0610a1e0
adc r1,r7|0710a1e0
adc r1,r8|0810a1e0
adc r2,#0|0020a2e2
adc r2,r0|0020a2e0
adc r2,r1|0120a2e0
adc r2,r2|0220a2e0
adc r2,r3|0320a2e0
adc r2,r4|0420a2e0
adc r2,r5|0520a2e0
adc r2,r6|0620a2e0
adc r2,r7|0720a2e0
adc r2,r8|0820a2e0
adc r3,#0|0030a3e2
adc r3,r0|0030a3e0
adc r3,r1|0130a3e0
adc r3,r2|0230a3e0
adc r3,r3|0330a3e0
adc r3,r4|0430a3e0
adc r3,r5|0530a3e0
adc r3,r6|0630a3e0
adc r3,r7|0730a3e0
adc r3,r8|0830a3e0
adc r4,#0|0040a4e2
adc r4,r0|0040a4e0
adc r4,r1|0140a4e0
adc r4,r2|0240a4e0
adc r4,r3|0340a4e0
adc r4,r4|0440a4e0
adc r4,r5|0540a4e0
adc r4,r6|0640a4e0
adc r4,r7|0740a4e0
adc r4,r8|0840a4e0
adc r5,#0|0050a5e2
adc r5,r0|0050a5e0
adc r5,r1|0150a5e0
adc r5,r2|0250a5e0
adc r5,r3|0350a5e0
adc r5,r4|0450a5e0
adc r5,r5|0550a5e0
adc r5,r6|0650a5e0
adc r5,r7|0750a5e0
adc r5,r8|0850a5e0
adc r6,#0|0060a6e2
adc r6,r0|0060a6e0
adc r6,r1|0160a6e0
adc r6,r2|0260a6e0
adc r6,r3|0360a6e0
adc r6,r4|0460a6e0
adc r6,r5|0560a6e0
adc r6,r6|0660a6e0
adc r6,r7|0760a6e0
adc r6,r8|0860a6e0
adc r7,#0|0070a7e2
adc r7,r0|0070a7e0
adc r7,r1|0170a7e0
adc r7,r2|0270a7e0
adc r7,r3|0370a7e0
adc r7,r4|0470a7e0
adc r7,r5|0570a7e0
adc r7,r6|0670a7e0
adc r7,r7|0770a7e0
adc r7,r8|0870a7e0
adc r8,#0|0080a8e2
adc r8,r0|0080a8e0
adc r8,r1|0180a8e0
adc r8,r2|0280a8e0
adc r8,r3|0380a8e0
adc r8,r4|0480a8e0
adc r8,r5|0580a8e0
adc r8,r6|0680a8e0
adc r8,r7|0780a8e0
adc r8,r8|0880a8e0
cmp r0,#0|000050e3
cmp r0,r0|000050e1
cmp r0,r1|010050e1
cmp r0,r2|020050e1
cmp r0,r3|030050e1
cmp r0,r4|040050e1
cmp r0,r5|050050e1
cmp r0,r6|060050e1
cmp r0,r7|070050e1
cmp r0,r8|080050e1
cmp r1,#0|000051e3
cmp r1,r0|000051e1
cmp r1,r1|010051e1
cmp r1,r2|020051e1
cmp r1,r3|030051e1
cmp r1,r4|040051e1
cmp r1,r5|050051e1
cmp r1,r6|060051e1
cmp r1,r7|070051e1
cmp r1,r8|080051e1
cmp r2,#0|000052e3
cmp r2,r0|000052e1
cmp r2,r1|010052e1
cmp r2,r2|020052e1
cmp r2,r3|030052e1
cmp r2,r4|040052e1
cmp r2,r5|050052e1
cmp r2,r6|060052e1
cmp r2,r7|070052e1
cmp r2,r8|080052e1
cmp r3,#0|000053e3
cmp r3,r0|000053e1
cmp r3,r1|010053e1
cmp r3,r2|020053e1
cmp r3,r3|030053e1
cmp r3,r4|040053e1
cmp r3,r5|050053e1
cmp r3,r6|060053e1
cmp r3,r7|070053e1
cmp r3,r8|080053e1
cmp r4,#0|000054e3
cmp r4,r0|000054e1
cmp r4,r1|010054e1
cmp r4,r2|020054e1
cmp r4,r3|030054e1
cmp r4,r4|040054e1
cmp r4,r5|050054e1
cmp r4,r6|060054e1
cmp r4,r7|070054e1
cmp r4,r8|080054e1
cmp r5,#0|000055e3
cmp r5,r0|000055e1
cmp r5,r1|010055e1
cmp r5,r2|020055e1
cmp r5,r3|030055e1
cmp r5,r4|040055e1
cmp r5,r5|050055e1
cmp r5,r6|060055e1
cmp r5,r7|070055e1
cmp r5,r8|080055e1
cmp r6,#0|000056e3
cmp r6,r0|000056e1
cmp r6,r1|010056e1
cmp r6,r2|020056e1
cmp r6,r3|030056e1
cmp r6,r4|040056e1
cmp r6,r5|050056e1
cmp r6,r6|060056e1
cmp r6,r7|070056e1
cmp r6,r8|080056e1
cmp r7,#0|000057e3
cmp r7,r0|000057e1
cmp r7,r1|010057e1
cmp r7,r2|020057e1
cmp r7,r3|030057e1
cmp r7,r4|040057e1
cmp r7,r5|050057e1
cmp r7,r6|060057e1
cmp r7,r7|070057e1
cmp r7,r8|080057e1
cmp r8,#0|000058e3
cmp r8,r0|000058e1
cmp r8,r1|010058e1
cmp r8,r2|020058e1
cmp r8,r3|030058e1
cmp r8,r4|040058e1
cmp r8,r5|050058e1
cmp r8,r6|060058e1
cmp r8,r7|070058e1
cmp r8,r8|080058e1
mov r0,#0|0000a0e3
mov r0,r0|0000a0e1
mov r0,r1|0100a0e1
mov r0,r2|0200a0e1
mov r0,r3|0300a0e1
mov r0,r4|0400a0e1
mov r0,r5|0500a0e1
mov r0,r6|0600a0e1
mov r0,r7|0700a0e1
mov r0,r8|0800a0e1
mov r1,#0|0010a0e3
mov r1,r0|0010a0e1
mov r1,r1|0110a0e1
mov r1,r2|0210a0e1
mov r1,r3|0310a0e1
mov r1,r4|0410a0e1
mov r1,r5|0510a0e1
mov r1,r6|0610a0e1
mov r1,r7|0710a0e1
mov r1,r8|0810a0e1
mov r2,#0|0020a0e3
mov r2,r0|0020a0e1
mov r2,r1|0120a0e1
mov r2,r2|0220a0e1
mov r2,r3|0320a0e1
mov r2,r4|0420a0e1
mov r2,r5|0520a0e1
mov r2,r6|0620a0e1
mov r2,r7|0720a0e1
mov r2,r8|0820a0e1
mov r3,#0|0030a0e3
mov r3,r0|0030a0e1
mov r3,r1|0130a0e1
mov r3,r2|0230a0e1
mov r3,r3|0330a0e1
mov r3,r4|0430a0e1
mov r3,r5|0530a0e1
mov r3,r6|0630a0e1
mov r3,r7|0730a0e1
mov r3,r8|0830a0e1
mov r4,#0|0040a0e3
mov r4,r0|0040a0e1
mov r4,r1|0140a0e1
mov r4,r2|0240a0e1
mov r4,r3|0340a0e1
mov r4,r4|0440a0e1
mov r4,r5|0540a0e1
mov r4,r6|0640a0e1
mov r4,r7|0740a0e1
mov r4,r8|0840a0e1
mov r5,#0|0050a0e3
mov r5,r0|0050a0e1
mov r5,r1|0150a0e1
mov r5,r2|0250a0e1
mov r5,r3|0350a0e1
mov r5,r4|0450a0e1
mov r5,r5|0550a0e1
mov r5,r6|0650a0e1
mov r5,r7|0750a0e1
mov r5,r8|0850a0e1
mov r6,#0|0060a0e3
mov r6,r0|0060a0e1
mov r6,r1|0160a0e1
mov r6,r2|0260a0e1
mov r6,r3|0360a0e1
mov r6,r4|0460a0e1
mov r6,r5|0560a0e1
mov r6,r6|0660a0e1
mov r6,r7|0760a0e1
mov r6,r8|0860a0e1
mov r7,#0|0070a0e3
mov r7,r0|0070a0e1
mov r7,r1|0170a0e1
mov r7,r2|0270a0e1
mov r7,r3|0370a0e1
mov r7,r4|0470a0e1
mov r7,r5|0570a0e1
mov r7,r6|0670a0e1
mov r7,r7|0770a0e1
mov r7,r8|0870a0e1
mov r8,#0|0080a0e3
mov r8,r0|0080a0e1
mov r8,r1|0180a0e1
mov r8,r2|0280a0e1
mov r8,r3|0380a0e1
mov r8,r4|0480a0e1
mov r8,r5|0580a0e1
mov r8,r6|0680a0e1
mov r8,r7|0780a0e1
mov r8,r8|0880a0e1
add r0,#0|000080e2
add r0,r0|000080e0
add r0,r1|010080e0
add r0,r2|020080e0
add r0,r3|030080e0
add r0,r4|040080e0
add r0,r5|050080e0
add r0,r6|060080e0
add r0,r7|070080e0
add r0,r8|080080e0
add r1,#0|001081e2
add r1,r0|001081e0
add r1,r1|011081e0
add r1,r2|021081e0
add r1,r3|031081e0
add r1,r4|041081e0
add r1,r5|051081e0
add r1,r6|061081e0
add r1,r7|071081e0
add r1,r8|081081e0
add r2,#0|002082e2
add r2,r0|002082e0
add r2,r1|012082e0
add r2,r2|022082e0
add r2,r3|032082e0
add r2,r4|042082e0
add r2,r5|052082e0
add r2,r6|062082e0
add r2,r7|072082e0
add r2,r8|082082e0
add r3,#0|003083e2
add r3,r0|003083e0
add r3,r1|013083e0
add r3,r2|023083e0
add r3,r3|033083e0
add r3,r4|043083e0
add r3,r5|053083e0
add r3,r6|063083e0
add r3,r7|073083e0
add r3,r8|083083e0
add r4,#0|004084e2
add r4,r0|004084e0
add r4,r1|014084e0
add r4,r2|024084e0
add r4,r3|034084e0
add r4,r4|044084e0
add r4,r5|054084e0
add r4,r6|064084e0
add r4,r7|074084e0
add r4,r8|084084e0
add r5,#0|005085e2
add r5,r0|005085e0
add r5,r1|015085e0
add r5,r2|025085e0
add r5,r3|035085e0
add r5,r4|045085e0
add r5,r5|055085e0
add r5,r6|065085e0
add r5,r7|075085e0
add r5,r8|085085e0
add r6,#0|006086e2
add r6,r0|006086e0
add r6,r1|016086e0
add r6,r2|026086e0
add r6,r3|036086e0
add r6,r4|046086e0
add r6,r5|056086e0
add r6,r6|066086e0
add r6,r7|076086e0
add r6,r8|086086e0
add r7,#0|007087e2
add r7,r0|007087e0
add r7,r1|017087e0
add r7,r2|027087e0
add r7,r3|037087e0
add r7,r4|047087e0
add r7,r5|057087e0
add r7,r6|067087e0
add r7,r7|077087e0
add r7,r8|087087e0
add r8,#0|008088e2
add r8,r0|008088e0
add r8,r1|018088e0
add r8,r2|028088e0
add r8,r3|038088e0
add r8,r4|048088e0
add r8,r5|058088e0
add r8,r6|068088e0
add r8,r7|078088e0
add r8,r8|088088e0
sub r0,#0|000040e2
sub r0,r0|000040e0
sub r0,r1|010040e0
sub r0,r2|020040e0
sub r0,r3|030040e0
sub r0,r4|040040e0
sub r0,r5|050040e0
sub r0,r6|060040e0
sub r0,r7|070040e0
sub r0,r8|080040e0
sub r1,#0|001041e2
sub r1,r0|001041e0
sub r1,r1|011041e0
sub r1,r2|021041e0
sub r1,r3|031041e0
sub r1,r4|041041e0
sub r1,r5|051041e0
sub r1,r6|061041e0
sub r1,r7|071041e0
sub r1,r8|081041e0
sub r2,#0|002042e2
sub r2,r0|002042e0
sub r2,r1|012042e0
sub r2,r2|022042e0
sub r2,r3|032042e0
sub r2,r4|042042e0
sub r2,r5|052042e0
sub r2,r6|062042e0
sub r2,r7|072042e0
sub r2,r8|082042e0
sub r3,#0|003043e2
sub r3,r0|003043e0
sub r3,r1|013043e0
sub r3,r2|023043e0
sub r3,r3|033043e0
sub r3,r4|043043e0
sub r3,r5|053043e0
sub r3,r6|063043e0
sub r3,r7|073043e0
sub r3,r8|083043e0
sub r4,#0|004044e2
sub r4,r0|004044e0
sub r4,r1|014044e0
sub r4,r2|024044e0
sub r4,r3|034044e0
sub r4,r4|044044e0
sub r4,r5|054044e0
sub r4,r6|064044e0
sub r4,r7|074044e0
sub r4,r8|084044e0
sub r5,#0|005045e2
sub r5,r0|005045e0
sub r5,r1|015045e0
sub r5,r2|025045e0
sub r5,r3|035045e0
sub r5,r4|045045e0
sub r5,r5|055045e0
sub r5,r6|065045e0
sub r5,r7|075045e0
sub r5,r8|085045e0
sub r6,#0|006046e2
sub r6,r0|006046e0
sub r6,r1|016046e0
sub r6,r2|026046e0
sub r6,r3|036046e0
sub r6,r4|046046e0
sub r6,r5|056046e0
sub r6,r6|066046e0
sub r6,r7|076046e0
sub r6,r8|086046e0
sub r7,#0|007047e2
sub r7,r0|007047e0
sub r7,r1|017047e0
sub r7,r2|027047e0
sub r7,r3|037047e0
sub r7,r4|047047e0
sub r7,r5|057047e0
sub r7,r6|067047e0
sub r7,r7|077047e0
sub r7,r8|087047e0
sub r8,#0|008048e2
sub r8,r0|008048e0
sub r8,r1|018048e0
sub r8,r2|028048e0
sub r8,r3|038048e0
sub r8,r4|048048e0
sub r8,r5|058048e0
sub r8,r6|068048e0
sub r8,r7|078048e0
sub r8,r8|088048e0
and r0,#0|000000e2
and r0,r0|000000e0
and r0,r1|010000e0
and r0,r2|020000e0
and r0,r3|030000e0
and r0,r4|040000e0
and r0,r5|050000e0
and r0,r6|060000e0
and r0,r7|070000e0
and r0,r8|080000e0
and r1,#0|001001e2
and r1,r0|001001e0
and r1,r1|011001e0
and r1,r2|021001e0
and r1,r3|031001e0
and r1,r4|041001e0
and r1,r5|051001e0
and r1,r6|061001e0
and r1,r7|071001e0
and r1,r8|081001e0
and r2,#0|002002e2
and r2,r0|002002e0
and r2,r1|012002e0
and r2,r2|022002e0
and r2,r3|032002e0
and r2,r4|042002e0
and r2,r5|052002e0
and r2,r6|062002e0
and r2,r7|072002e0
and r2,r8|082002e0
and r3,#0|003003e2
and r3,r0|003003e0
and r3,r1|013003e0
and r3,r2|023003e0
and r3,r3|033003e0
and r3,r4|043003e0
and r3,r5|053003e0
and r3,r6|063003e0
and r3,r7|073003e0
and r3,r8|083003e0
and r4,#0|004004e2
and r4,r0|004004e0
and r4,r1|014004e0
and r4,r2|024004e0
and r4,r3|034004e0
and r4,r4|044004e0
and r4,r5|054004e0
and r4,r6|064004e0
and r4,r7|074004e0
and r4,r8|084004e0
and r5,#0|005005e2
and r5,r0|005005e0
and r5,r1|015005e0
and r5,r2|025005e0
and r5,r3|035005e0
and r5,r4|045005e0
and r5,r5|055005e0
and r5,r6|065005e0
and r5,r7|075005e0
and r5,r8|085005e0
and r6,#0|006006e2
and r6,r0|006006e0
and r6,r1|016006e0
and r6,r2|026006e0
and r6,r3|036006e0
and r6,r4|046006e0
and r6,r5|056006e0
and r6,r6|066006e0
and r6,r7|076006e0
and r6,r8|086006e0
and r7,#0|007007e2
and r7,r0|007007e0
and r7,r1|017007e0
and r7,r2|027007e0
and r7,r3|037007e0
and r7,r4|047007e0
and r7,r5|057007e0
and r7,r6|067007e0
and r7,r7|077007e0
and r7,r8|087007e0
